FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
6981,2024,2,723896,72001000,155500,C,F,F,F,F,21148,4.877,9.601,8,0,51.7,13.6,7594.9372,Bridge No-720242,Bridge No-720245,72,Duval,2,7594.93715703914
6982,2024,3,555913,55000131,13500,E,E,E,E,E,230,0,1.424,11,0,66,1.7,2278.5505, , ,55,Leon,3,2278.55052514323
6983,2024,1,124171,12000157,12700,F,F,F,F,1,686,0,1.493,9,0,55.4,5.4,2386.6929,SUNSHINE BLVD,BETH STACEY BLVD,12,Lee,1,2386.69285734856
6984,2024,1,130043,13075000,99000,C,F,F,F,A,15444,15.3,16.132,9,0,52.4,15.6,1338.1776,13175302 SB OFF,N/A,13,Manatee,1,1338.17759348623
6985,2024,5,110301,11070000,69500,S,F,F,F,F,7298,15.44,15.689,9,0,53.7,10.5,401.6966,MISS FLORIDA AVE,HANCOCK RD,11,Lake,5,401.696601779214
6986,2024,7,109933,10003000,8000,E,F,F,F,F,576,6.374,7.31,9,0,99.99,7.2,1505.9041,10003002 WB ON,N/A,10,Hillsborough,7,1505.90414413973
6987,2024,5,118121,11000198,30,F,F,F,F,1,2,0,0.129,9,0,53.7,8,207.3406,DEERWOOD FARMS RD,DEERWOOD FARMS RD,11,Lake,5,207.340576122016
6988,2024,5,970396,70471000,9800,C,F,F,F,F,1568,4.33,5.544,9,0,58.3,16,1954.7915,Bridge No-700091,N/A,70,Brevard,8,1954.79154231159
6989,2024,3,615007,61510000,4200,F,F,F,F,F,517,10.469,10.994,9.5,0,55,12.3,846.4135,SOUTH BLVD,SR-77,61,Washington,3,846.413465752585
6990,2024,1,125076,12070000,38500,C,F,F,F,A,3196,0.756,1.019,9,0,53.9,8.3,423.5031,EVANS ST,PALM AVE,12,Lee,1,423.503069493171
6991,2024,1,034900,03000018,9800,F,F,F,F,F,353,0,3.052,9,0,57.4,3.6,4924.644,US 41 TAMIAMI TRAIL,CR-864/RATLSNAK HAMM,03,Collier,1,4924.64400769436
6992,2024,1,124126,12000048,12900,F,F,F,W,1,826,0,0.628,9,0,99.99,6.4,1007.6757,MICHIGAN AVE,TOUT TO VERONICA,12,Lee,1,1007.67565274455
6993,2024,7,025008,02010000,19000,E,F,F,F,F,1634,13.177,14.041,9,0,53.2,8.6,1389.4014,SR-45/FLORIDA AVE,PARKSIDE AVE,02,Citrus,7,1389.40136191612
6994,2024,1,127001,12075001,11500,F,F,F,W,F,1173,0,0.274,9,0,99.9,10.2,441.0896,I-75 / SR 93 NB,BONITA BEACH RD,12,Lee,1,441.089558854142
6995,2024,2,729183,72000264,350,C,F,F,W,F,7,0,0.033,9,0,99.9,2,53.9397,MARKET ST,MARKET ST N,72,Duval,2,53.9396645448635
6996,2024,1,164141,16000337,7000,E,E,E,E,E,252,0,0.661,9,0,55,3.6,1062.0115, , ,16,Polk,1,1062.01149976598
6997,2024,7,109004,10000785,4700,C,F,F,F,F,714,0,0.383,9,0,55.4,15.2,625.1901,GOLF AND SEA BLVD,N US HIGHWAY 41,10,Hillsborough,7,625.190144530097
6998,2024,1,134016,13050001,2300,S,2,2,2,X,474,16.835,16.917,9.5,0,59.4,20.6,131.8972,SR 70,RAMP TO CR-675,13,Manatee,1,131.8971872923
6999,2024,5,115124,11040000,22500,S,F,F,F,F,1148,3.752,4.349,9,0,53.7,5.1,962.8869,N/A,US-27/SR-525,11,Lake,5,962.886899648805
7000,2024,7,102844,10002014,5900,C,F,F,W,F,525,0,0.112,9,0,99.9,8.9,176.8917,SR-618 / SELMON EXPW,PLANT AVE,10,Hillsborough,7,176.89170350599
7001,2024,5,118029,11000109,5300,F,F,F,F,1,80,0,3.309,9,0,53.7,1.5,5325.195,CHERRY LAKE RD,US-27,11,Lake,5,5325.19500770292
7002,2024,1,134188,13550000,3200,F,S,S,S,1,195,0,2.569,9,0,63.2,6.1,4058.7332,TARPON RD,8 AVE W,13,Manatee,1,4058.7332116028
7003,2024,7,977183,10470029,2500,C,F,F,W,F,305,0,0.17,8,0,99.9,12.2,273.0499,SR 589 NB,HUTCHISON RD,10,Hillsborough,8,273.049900526619
7004,2024,3,605904,60000020,5400,F,F,F,F,F,929,0,3.241,9.5,0,51.9,17.2,5221.1534,CR-393/N CO HWY 393,US-331/SR-83,60,Walton,3,5221.15341664637
7005,2024,5,752306,75320017,4900,C,F,F,W,F,221,0,0.202,8,0,99.9,4.5,326.4994,SR 429 NB,SR 50,75,Orange,5,326.499417203406
7006,2024,2,720971,72028000,46500,C,F,F,F,F,651,2.469,2.691,9,0,54.9,1.4,357.2726,BAYMEADOWS WAY,72280218 SB OFF,72,Duval,2,357.272609407579
7007,2024,2,720882,72015000,29000,C,F,F,F,F,928,1.438,2.373,9,0,54.9,3.2,1498.563,72280234 NB OFF,AUX LANE RT TO US 90,72,Duval,2,1498.56302197263
7008,2024,1,134212,13000003,400,S,F,F,F,F,44,0,7.5,9.5,0,57.9,10.9,12171.7918,UNSIGNED,SR 70/ONECO-MYAKKA,13,Manatee,1,12171.7917904289
7009,2024,3,521510,52030000,13400,C,F,F,F,A,1072,2.261,3.075,9.5,0,54.2,8,1312.3874,CR-173/HOLMES AVE,US-90/SR-10,52,Holmes,3,1312.38741119126
7010,2024,2,720848,72580000,8500,C,F,F,F,F,170,5.105,6.546,9,0,54.9,2,2310.2211,NORMANDY BLVD,LUNA ST,72,Duval,2,2310.22105714656
7011,2024,2,974100,72470410,4400,C,F,F,W,F,308,0,0.387,8,0,99.9,7,623.1959,SR 23 NB,SR 134 / 103RD ST,72,Duval,8,623.195853274199
7012,2024,2,723547,71030000,25500,C,F,F,F,F,7931,3.05,5.54,9,0,57.1,31.1,4004.2826,CR-218,DUVAL CO LINE,71,Clay,2,4004.28261081552
7013,2024,2,719126,71000030,14200,C,F,F,F,F,185,0,2.909,9,0,52.2,1.3,4681.7263,DISCOVERY DR,DUVAL CO LINE,71,Clay,2,4681.72626689374
7014,2024,5,708006,70000018,5200,C,F,F,F,F,234,0,3.03,9,0,53.8,4.5,4877.2599,SR-520,JAMES RD,70,Brevard,5,4877.25987377807
7015,2024,3,590229,59110000,1750,F,F,F,F,1,495,12.211,14.244,9.5,0,59.4,28.3,3272.1446,SR-363/PORT LEON DR,SR-267/BLOXHAM CUTOF,59,Wakulla,3,3272.14463494273
7016,2024,5,752289,75301039,4300,C,F,F,W,F,194,0,0.395,8,0,99.9,4.5,634.7582,SR 417 SB,MOSS PARK RD,75,Orange,5,634.758193612371
7017,2024,7,102729,10075343,17000,C,F,F,W,F,2584,0,0.867,9,0,99.9,15.2,1395.1275,10075341NB OFF TO I4,10075346SB OFF TO I4,10,Hillsborough,7,1395.12750036754
7018,2024,5,758220,75000381,3600,E,F,F,F,F,194,0,6.218,9.5,0,52.9,5.4,10023.5166,75002041 EB OFF,SR 520,75,Orange,5,10023.5165501216
7019,2024,2,722671,72020101,3700,C,F,F,W, ,0,0,0.115,8,0,99.9,0,185.6424,GORE AT I-95 NB,GORE AT SR-111,72,Duval,2,185.642443718021
7020,2024,2,722244,72020000,97000,C,F,F,F,D,19012,9.69,10.567,8,0,51.7,19.6,1409.2654,72020408 SB ON,GORE AT 72290239,72,Duval,2,1409.26537056506
7021,2024,5,707103,70740000,33000,F,F,F,F,1,1089,5.134,6.695,9,0,53.8,3.3,2512.7621,N/A,N/A,70,Brevard,5,2512.76205717931
7022,2024,1,124202,12510000,13200,C,F,F,F,F,1016,0.322,4.433,9.5,0,55.4,7.7,6616.5872,CUL DE SAC,BUCKINGHAM RD,12,Lee,1,6616.58721920862
7023,2024,2,724162,72292264,15000,C,F,F,W,F,645,0,0.23,8,0,99.9,4.3,369.0507,GORE AT HODGES BLVD,GORE AT SR-202 WB,72,Duval,2,369.050691564902
7024,2024,2,724061,72001049,16000,C,F,F,W,F,3456,0,0.255,8,0,99.9,21.6,409.1368,GORE I-295 SB,GORE I-10 WB,72,Duval,2,409.136788782187
7025,2024,3,577732,57160126,550,C,F,F,W,F,24,0,0.284,9.5,0,99.9,4.3,456.189,SR-285,GORE AT SR-293 NB,57,Okaloosa,3,456.189019523772
7026,2024,5,707052,70000012,4400,F,F,F,F,1,92,0,0.4,9,0,53.8,2.1,643.5357,KNOX MCRAE DR,N/A,70,Brevard,5,643.535734439606
7027,2024,1,070011,07010000,23500,C,F,F,F,A,2327,9.355,9.422,9,0,56.7,9.9,107.7286,MAIN ST/SR 29,BRIDGE ST,07,Hendry,1,107.728645676132
7028,2024,7,102671,10190445,16000,C,F,F,W,F,1968,0,0.525,9,0,99.9,12.3,844.4531,US-41/SR-599,I-4 / SR-400,10,Hillsborough,7,844.453104335003
7029,2024,3,590053,59020000,15300,C,F,F,F,A,734,6.087,9.028,9.5,0,59.4,4.8,4731.3086,SR-267,LEON CO LINE,59,Wakulla,3,4731.30863444035
7030,2024,5,755194,75230000,20000,C,F,F,F,A,1200,5.586,6.535,9,0,52.9,6,1527.5804,9TH ST,N/A,75,Orange,5,1527.58044860349
7031,2024,5,758183,75000337,10900,C,F,F,F,A,164,0,0.562,9,0,52.9,1.5,894.8057,PEMBROOK DR,KELLER RD,75,Orange,5,894.805663264198
7032,2024,2,974410,72470441,850,C,F,F,W,F,60,0,0.205,8,0,99.9,7,330.5071,NEW WORLD AVE,SR 23 SB,72,Duval,8,330.507099741654
7033,2024,2,722651,72020086,7100,F,F,F,W, ,0,0,0.178,8,0,99.9,0,290.8815,GORE AT 20TH ST,GORE AT I-95 SB,72,Duval,2,290.881493835969
7034,2024,3,590012,59040000,3400,F,F,F,F,1,360,2.582,5.596,9.5,0,59.4,10.6,4855.9158,US-98/SR-30,SR-267,59,Wakulla,3,4855.91576854347
7035,2024,5,758000,75000002,23000,S,F,F,F,F,1242,0,2.257,9,0,52.9,5.4,3631.1047,VOTAW RD,SEMINOLE CO.,75,Orange,5,3631.10471779577
7036,2024,1,134999,13000014,29500,F,S,S,S,1,1505,0.873,3.013,9,0,63.2,5.1,3454.9712,LAKEWOOD RANCH BLVD,LORRAINE RD,13,Manatee,1,3454.97122830802
7037,2024,3,575113,57110000,40500,C,F,F,F,A,1904,3.637,4.318,9,0,52.4,4.7,1099.446,LEWIS ST,SR-188/RACETRACK RD,57,Okaloosa,3,1099.44603200217
7038,2024,3,540227,54572000,900,C,F,F,F,A,96,0,5.271,9.5,0,60.8,10.7,8495.6903,LEON CO LINE,SR-59/GAMBLE RD,54,Jefferson,3,8495.69032466396
7039,2024,1,064024,06503000,600,R,F,F,F,F,136,0,4.81,9.5,0,60.3,22.7,7742.7698,CR-636/STEVEROBERTS,SR 64,06,Hardee,1,7742.76979186061
7040,2024,3,520008,52000015,500,C,F,F,F,F,78,0,3.105,9.5,0,54.2,15.5,4999.7939,SR-79,CR-173,52,Holmes,3,4999.79386645344
7041,2024,5,750028,75000019,11200,C,F,F,F,A,426,0,2.055,9,0,52.9,3.8,3308.7117,MICHIGAN ST,SR 526/WASHINGTON ST,75,Orange,5,3308.71169478681
7042,2024,2,710195,71010000,10600,C,F,F,F,F,2226,6.831,9.025,9.5,0,52.2,21,3529.8274,CR-15A,CR-209S,71,Clay,2,3529.8273912033
7043,2024,7,102906,10190094,4400,C,F,F,W,F,669,0,0.33,9,0,99.9,15.2,529.2626,US-92/SR-600 EB,US-301/SR-41 SB,10,Hillsborough,7,529.262580471538
7044,2024,3,590017,59508000,3900,F,F,F,F,F,410,1.867,8,9,0,59.4,10.5,9882.4597,ALEXANDER RD,US-98/SR-30,59,Wakulla,3,9882.45970739187
7045,2024,5,752297,75320004,2600,C,F,F,W,F,117,0,0.294,8,0,99.9,4.5,473.4667,SR-438,SR-429,75,Orange,5,473.466712906006
7046,2024,7,102830,10075334,6000,F,F,F,W,F,534,0,0.212,9,0,99.9,8.9,343.4673,ADAMO DR EB/SR-60,RAMP 10075324,10,Hillsborough,7,343.467276940037
7047,2024,5,758198,75000359,12600,S,F,F,F,F,680,0,1.003,9,0,52.9,5.4,1615.1625,WINDERMERE RD,MAGUIRE RD,75,Orange,5,1615.16245574191
7048,2024,2,722678,72020111,700,C,F,F,W, ,0,0,0.124,8,0,99.9,0,198.5173,GORE AT ZOO PKWY,GORE AT I-95 NB,72,Duval,2,198.517331746724
7049,2024,2,720645,72291000,18000,C,F,F,F,F,1602,6.674,8.589,9,0,54.9,8.9,3079.4213,US-1/US-23/SR-15,MONCRIEF RD,72,Duval,2,3079.42130018333
7050,2024,1,126050,12505000,57500,X,F,F,F,F,3680,0,1.123,9,0,53.9,6.4,1806.8833,SANTA BARBARA BLVD,COUNTRY CLUB BLVD,12,Lee,1,1806.88334045529
7051,2024,3,520187,52510000,950,S,F,F,F,F,112,20.268,23.262,9.5,0,54.2,11.8,4817.9714,SR-2,ALABAMA STATE LINE,52,Holmes,3,4817.97142554511
7052,2024,5,758004,75000006,1350,C,F,F,F,A,61,0,4.98,9,0,52.9,4.5,8026.1155,ORANGE BLOSSOM TRL,LAKE COUNTY LINE,75,Orange,5,8026.1155376927
7053,2024,2,724106,72001297,1300,C,F,F,W,F,177,0,0.299,8,0,99.9,13.6,482.773,GORE AT I-295 NB,GORE AT NEW KINGS RD,72,Duval,2,482.773043452889
7054,2024,5,708136,70770500,1150,E,F,F,F,F,52,0,0.12,9,0,53.8,4.5,196.2082,LAKE DR,PEACHTREE ST,70,Brevard,5,196.208237890859
7055,2024,3,553013,55000022,9200,C,F,F,F,F,92,0,0.623,9,0,66.1,1,992.1764,APPLEYARD DR,HERTY ST,55,Leon,3,992.176383476332
7056,2024,1,064055,06560001,1100,R,F,F,F,F,250,0,1.512,9.5,0,60.3,22.7,2437.1876,LAKE BRANCH RD,COUNTY LINE RD,06,Hardee,1,2437.18759643337
7057,2024,5,758057,75000075,8200,S,F,F,F,F,443,0,1.263,9,0,52.9,5.4,2038.045,REWIS ST,FULLERS CROSS RD,75,Orange,5,2038.04503370104
7058,2024,3,590006,59010000,10500,F,F,F,F,F,1544,7.676,9.337,9.5,0,59.4,14.7,2671.6816,59030002 TO/FROM,US98/US319/SR30/SR61,59,Wakulla,3,2671.68156084726
7059,2024,5,755090,75230000,3600,C,F,F,F,A,148,7.162,7.557,9,0,52.9,4.1,635.711,N/A,S CUMBERLAND AVE,75,Orange,5,635.710970060134
7060,2024,5,752262,75301012,6500,F,F,F,W,F,293,0,0.345,8,0,99.9,4.5,563.0365,CR15 / NARCOOSSEE RD,SR 417 SB,75,Orange,5,563.0364524724
7061,2024,2,719005,71120000,14000,C,F,F,F,F,182,0,12.512,9,0,52.2,1.3,20141.2308,US-301/SR-200,SR-21,71,Clay,2,20141.230777308
7062,2024,2,724241,72020079,4200,C,F,F,W,F,571,0,0.146,8,0,99.9,13.6,236.2887,GORE AT OLD KINGS RD,GORE AT I-95 NB,72,Duval,2,236.288694445344
7063,2024,7,102670,10190456,9500,C,F,F,W,F,1169,0,0.364,9,0,99.9,12.3,581.3474,US-41/SR-599/50 ST,I-4 / SR-400,10,Hillsborough,7,581.347398382755
7064,2024,2,749134,74600000,11000,C,F,F,F,F,561,0.348,4.914,9,0,53.2,5.1,7378.2648,SR-A1A/SR-200,SR-A1A/SR-200,74,Nassau,2,7378.26476675659
7065,2024,2,724096,72001045,9300,C,F,F,W,F,1265,0,0.145,8,0,99.9,13.6,239.6074,GORE AT SR-228 WB,GORE AT I-295 NB,72,Duval,2,239.607444500717
7066,2024,3,570299,57150000,23000,C,F,F,F,A,1196,0.313,4.313,9.5,0,63.2,5.2,6438.8414,SR-85 WB FRONTAGE RD,Bridge No-570177,57,Okaloosa,3,6438.84140030901
7067,2024,3,555028,55000013,6300,C,F,F,F,F,586,0,0.069,9,0,68.8,9.3,111.2735,SR-371,N/A,55,Leon,3,111.273516011823
7068,2024,1,060021,06050000,7500,S,F,F,F,2,1673,16.611,19.994,9,0,62.6,22.3,5443.1138,SR 35/US 17,MEL BRYAN RD,06,Hardee,1,5443.11379868899
7069,2024,5,758029,75000039,4900,F,F,F,F,1,510,0,1.376,9,0,52.9,10.4,2217.5925,SAND LAKE RD,VANGUARD ST,75,Orange,5,2217.59251636288
7070,2024,5,757079,75000079,1750,C,F,F,F,A,47,0,1.133,9,0,52.9,2.7,1823.5083,S DILLARD ST,BETHUNE AVE,75,Orange,5,1823.50830638992
7071,2024,5,757005,75000012,31500,C,F,F,F,A,1544,6.698,7.825,9,0,52.9,4.9,1813.8511,PALM LAKE DR,CONROY-WINDERMERE RD,75,Orange,5,1813.85107733586
7072,2024,2,724103,72001058,6200,C,F,F,W,F,843,0,0.224,8,0,99.9,13.6,357.7048,GORE AT I-295,GORE AT PRITCHARD RD,72,Duval,2,357.704781191909
7073,2024,3,577712,57150101,650,F,F,F,W,F,37,0,0.261,9.5,0,99.9,5.7,419.0648,SR-123 SB,SR-85 WB FRONTAGE RD,57,Okaloosa,3,419.064751455217
7074,2024,3,555037,55000024,1600,C,F,F,F,F,149,0,0.677,9,0,68.8,9.3,1087.4629,CR-0361,BRONOUGH ST,55,Leon,3,1087.46287156571
7075,2024,1,074102,07000003,1600,F,F,F,F,1,144,0,3.269,9.5,0,56.4,9,5250.6894,CR78A/FORT DENAUD BR,SR 80,07,Hendry,1,5250.68935589554
7076,2024,7,102669,10190455,8400,C,F,F,W,F,1033,0,0.243,9,0,99.9,12.3,386.9111,I-4 WB/SR-400,US-41/SR-599/50 ST,10,Hillsborough,7,386.911144616337
7077,2024,3,590008,59000008,700,C,F,F,F,F,74,0,3.257,9.5,0,59.4,10.5,5249.1752,US-319/SR-369,US-319/SR-369,59,Wakulla,3,5249.17522351
7078,2024,5,755087,75230000,15900,C,F,F,F,A,1415,3.242,5.586,9,0,52.9,8.9,3773.0642,AVALON RD,9TH ST,75,Orange,5,3773.06422026999
7079,2024,5,752260,75301010,3000,C,F,F,W,F,135,0,0.398,9,0,99.9,4.5,640.1407,SR 417 SB,SR 423 NB,75,Orange,5,640.140687992834
7080,2024,2,720842,72504000,7700,C,F,F,F,F,154,1.406,3.167,9,0,54.9,2,2830.4456,IRA RD,OLD KINGS RD,72,Duval,2,2830.4456046386
7081,2024,2,722669,72020094,13500,C,F,F,W, ,0,0,0.143,8,0,99.9,0,228.5562,GORE AT SR-115 SB,GORE AT I-95 SB,72,Duval,2,228.556223508463
7082,2024,7,102694,10190154,1600,C,F,F,W,F,243,0,0.322,9,0,99.9,15.2,512.5724,10190140 WB OFF,SR-39A/PAUL BUCHMAN,10,Hillsborough,7,512.572352756258
7083,2024,2,749113,74600001,10000,X,F,F,F,F,510,0,3.273,9,0,53.2,5.1,5256.5612,PAGES DAIRY RD,BLACKROCK RD,74,Nassau,2,5256.56124776292
7084,2024,2,724095,72001043,8000,C,F,F,W,F,1088,0,0.231,8,0,99.9,13.6,381.2343,GORE AT I-295 NB,GORE AT SR-228 EB,72,Duval,2,381.234321438611
7085,2024,3,570319,57150004,10000,C,F,F,W,F,570,0,1.426,9.5,0,99.9,5.7,2297.167,N END BRIDGE 570076,SR-85,57,Okaloosa,3,2297.16695675983
7086,2024,3,555120,55000015,8600,F,F,F,F,1,198,0,0.555,9,0,66.1,2.3,899.2874,CR-2196,US-90/SR-10,55,Leon,3,899.287404160396
7087,2024,1,065004,06010102,13500,S,F,F,W,2,1877,0.687,3.539,9,0,99.9,13.9,4576.8777,MAIN ST,RV PARK ENTRANCE,06,Hardee,1,4576.87771795033
7088,2024,5,757661,75000066,350,C,F,F,F,A,9,0,0.7,9,0,52.9,2.5,1124.9411,S DILLARD ST,N/A,75,Orange,5,1124.94107997713
7089,2024,1,134152,13000016,1300,F,F,F,F,1,94,0,0.9,9,0,57.9,7.2,1459.4587,SR 45/US 41,CANAL RD/16 AVE E,13,Manatee,1,1459.45872708419
7090,2024,3,520015,52080000,2100,S,F,F,F,F,326,0,10.153,9.5,0,54.2,15.5,16419.388,SR-79,SR-2,52,Holmes,3,16419.3880015676
7091,2024,2,729204,72640000,5000,F,F,F,F,F,100,0,2.1,9,0,54.9,2,3384.6393,SR 15/NEW KINGS RD,MONCRIEF RD,72,Duval,2,3384.63926600783
7092,2024,5,752253,75301003,4100,C,F,F,W,F,185,0,1.053,8,0,99.9,4.5,1698.9926,SR 528 EB,SR 417 NB,75,Orange,5,1698.99255036161
7093,2024,2,710122,71070000,62000,C,F,F,F,F,3472,10.003,11.927,9,0,52.2,5.6,3095.5146,CR-224/COLLEGE DR,SUZANNE AVE,71,Clay,2,3095.51459634107
7094,2024,5,708035,70000066,700,F,F,F,F,1,116,0,1.681,9.5,0,53.8,16.6,2703.6329,LAKE WASHINGTON PARK,"SR-9, I-95 SB BRIDGE",70,Brevard,5,2703.63293278504
7095,2024,7,102787,10190105,5000,F,F,F,W,F,445,0,0.211,9,0,99.9,8.9,331.431,CR-579 / MANGO RD,I-4 / SR-400,10,Hillsborough,7,331.431006520157
7096,2024,5,758172,75000314,5000,F,F,F,F,1,110,0,3.565,9,0,52.9,2.2,5749.7331,GOOD HOMES RD,PINE HILLS RD,75,Orange,5,5749.73311680786
7097,2024,3,605002,60000003,1300,C,F,F,F,F,224,0,0.994,9,0,51.9,17.2,1607.6047,US-331/SR-83,CR-280A/S 2ND ST,60,Walton,3,1607.60473910833
7098,2024,3,575057,57060000,30500,F,F,F,F,F,2654,0,0.57,9,0,52.4,8.7,919.9746,US-90/SR-10,LONG DR,57,Okaloosa,3,919.974619601486
7099,2024,5,758310,75000384,4400,R,F,F,W,F,238,0.089,0.425,9,0,99.9,5.4,543.8867,FERN AVE,COMMON WAY RD,75,Orange,5,543.886654777223
7100,2024,2,720970,72028000,46000,C,F,F,F,F,644,2.691,3.504,9,0,54.9,1.4,1308.1845,72280218 SB OFF,SHOPPING ENT,72,Duval,2,1308.18452496633
7101,2024,5,750019,75000315,650,F,F,F,F,1,56,0,0.164,9,0,52.9,8.6,258.6057,JOHN YOUNG PKWY,GREYHOUND BUS STA,75,Orange,5,258.6056876151
7102,2024,1,120120,12550000,3200,F,F,F,F,1,406,0,1.107,9,0,55.4,12.7,1782.1169,FERRY RD,N/A,12,Lee,1,1782.11685671106
7103,2024,1,070043,07010004,4100,C,F,F,W,A,771,0,0.356,9.5,0,99.9,18.8,562.6889,US 27 NB,N/A,07,Hendry,1,562.688866882389
7104,2024,2,724163,72292265,13500,C,F,F,W,F,581,0,0.268,8,0,99.9,4.3,436.4702,GORE AT SR-202 EB,GORE AT HODGES BLVD,72,Duval,2,436.470220412598
7105,2024,2,715005,71020000,48500,C,F,F,F,F,3783,11.799,12.65,9,0,52.2,7.8,1367.9166,N/A,KINGSLEY AVE,71,Clay,2,1367.91657594463
7106,2024,2,710196,71010000,15400,C,F,F,F,A,2002,9.025,10.647,9,0,52.2,13,2609.6216,CR-209S,SR-16,71,Clay,2,2609.62156320212
7107,2024,7,102640,10190071,13500,C,F,F,W,F,743,0.312,0.575,9,0,99.9,5.5,421.4488,N/A,N/A,10,Hillsborough,7,421.448777307812
7108,2024,3,590010,59090000,8100,C,F,F,F,F,389,6.7,8.471,9,0,59.4,4.8,2858.8228,MLK RD,CR-61/SHADEVILLE RD,59,Wakulla,3,2858.82277292804
7109,2024,5,750663,75320000,82500,S,F,F,F,F,4043,29.735,31.171,9,0,52.9,4.9,2311.5506,Bridge No-750549,Bridge No-750412,75,Orange,5,2311.55056689754
7110,2024,7,102753,10075333,15500,F,F,F,W,F,2356,0.34,0.907,9,0,99.9,15.2,912.4779,I-75 NB/SR-93A,N/A,10,Hillsborough,7,912.477945536218
7111,2024,5,758193,75000354,4600,E,F,F,F,F,248,0,2.776,9,0,52.9,5.4,4466.6967,OCOEE APOPKA RD,N APOPKA VINELAND RD,75,Orange,5,4466.69667000581
7112,2024,2,729249,72550000,10000,F,F,F,F,F,200,0,0.42,9,0,54.9,2,675.8945,ARMSDALE RD N,N/A,72,Duval,2,675.894487850353
7113,2024,5,707101,70740000,26000,F,F,F,F,1,1222,0,3.435,9,0,53.8,4.7,5529.4071,US-192,EAU GALLIE BLVD,70,Brevard,5,5529.40709366163
7114,2024,1,125224,12175006,6700,C,F,F,W,A,127,0,0.312,9,0,99.9,1.9,499.5161,I-75 NB FRONTAGE RD,TERMINAL ACCESS EB,12,Lee,1,499.516071358138
7115,2024,3,520183,52510000,500,C,F,F,F,F,59,0,5.27,9.5,0,54.2,11.8,8479.8856,WALTON CO LINE,US-90/SR-10,52,Holmes,3,8479.88560978871
7116,2024,5,750027,75000008,2400,C,F,F,F,A,161,0,0.24,9,0,52.9,6.7,385.1318,LANDSTREET RD,UPS CUSTOMER COUNTER,75,Orange,5,385.131784229963
7117,2024,2,724415,72001073,10500,C,F,F,W,F,1428,0,0.185,8,0,99.9,13.6,299.912,GORE AT 72001500,GORE AT COLLINS RD,72,Duval,2,299.912023867206
7118,2024,3,577709,57150111,600,C,F,F,W,F,34,0,0.32,9.5,0,99.9,5.7,513.4096,SR-123 NB,SR-85 SB,57,Okaloosa,3,513.409628757141
7119,2024,3,553076,55000042,1950,F,F,F,F,1,92,0,1.332,9,0,66.1,4.7,2153.9266,SR-20,US HWY 90 W,55,Leon,3,2153.92656420609
7120,2024,1,064064,06630000,1950,S,F,F,F,2,343,0,3.579,9.5,0,60.3,17.6,5741.3878,SR-62,POLK COUNTY LINE,06,Hardee,1,5741.38782498331
7121,2024,5,758062,75000082,8300,E,F,F,F,F,448,0,3.279,9,0,52.9,5.4,5283.9757,CR 545/ AVALON RD,SUMMERLAKE PARK BLVD,75,Orange,5,5283.97574708439
7122,2024,2,720960,72018000,11500,C,F,F,F,F,587,0,0.887,9,0,54.9,5.1,1429.3785,US-1/NEW KINGS RD,YOUNG RD,72,Duval,2,1429.37850610579
7123,2024,3,590029,59010001,13800,F,F,F,F,1,1076,0,0.371,9,0,59.4,7.8,594.8036,US-98/SR-30,ALASKA WAY,59,Wakulla,3,594.803611682996
7124,2024,2,729045,72840000,3300,C,F,F,F,F,66,0,6.288,9,0,54.9,2,10121.8098,SR-228/NORMANDY BLVD,US-90/SR-10,72,Duval,2,10121.8097803029
7125,2024,5,758186,75000346,22000,E,F,F,F,F,1188,0,3.203,9,0,52.9,5.4,5162.6933,HARTZOG RD,BUENA VISTA DR,75,Orange,5,5162.69331388879
7126,2024,2,720854,72500002,4300,C,F,F,F,F,86,0,0.869,9,0,54.9,2,1398.8293,SR109/UNIVERSITY BLV,GROVELAND DR,72,Duval,2,1398.82933098191
7127,2024,2,722660,72020088,3300,C,F,F,W, ,0,0,0.215,8,0,99.9,0,350.8912,GORE AT I-95 SB,GORE AT 20TH ST,72,Duval,2,350.891171754131
7128,2024,7,102677,10190447,6700,C,F,F,W,F,824,0,0.203,9,0,99.9,12.3,326.0903,I-4 / SR-400,SR-585 / N 22 ST,10,Hillsborough,7,326.090305601857
7129,2024,2,742006,74160014,950,F,F,F,W,F,101,0,0.154,9.5,0,99.9,10.6,241.3935,GORE AT US-17/SR-5,GORE AT I-95 SB,74,Nassau,2,241.393530685791
7130,2024,2,724091,72001036,9000,C,F,F,W,F,1224,0,0.213,8,0,99.9,13.6,344.5794,GORE AT I-295 SB,GORE AT SR-208 WB,72,Duval,2,344.579390444988
7131,2024,3,570250,57130000,31088,C,A,A,A,X,1834,0.439,2.104,9,0,52.9,5.9,2685.706,GREEN ACRES RD,CR-85C/MOONEY RD,57,Okaloosa,3,2685.7059618242
7132,2024,3,540225,54571000,600,C,F,F,F,A,82,0,6.49,9.5,0,60.8,13.6,10444.9585,US-90/SR-10,CR-146/ASHVILLE HWY,54,Jefferson,3,10444.9585018265
